 a11,   a22,   a33,   a12,   u1u1,     u2u2,    u3u3,     u1u2 
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332643E-02  0.41332643E-02  0.38630130E-02  0.67596085-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332625E-02  0.41332625E-02  0.38611748E-02  0.70565420-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332607E-02  0.41332607E-02  0.38593366E-02  0.73534754-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332589E-02  0.41332589E-02  0.38574984E-02  0.76504089-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332572E-02  0.41332572E-02  0.38556603E-02  0.79473424-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332554E-02  0.41332554E-02  0.38538221E-02  0.82442758-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332536E-02  0.41332536E-02  0.38519839E-02  0.85412093-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332518E-02  0.41332518E-02  0.38501457E-02  0.88381427-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332500E-02  0.41332500E-02  0.38483075E-02  0.91350762-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332482E-02  0.41332482E-02  0.38464693E-02  0.94320096-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332464E-02  0.41332464E-02  0.38446311E-02  0.97289431-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332446E-02  0.41332446E-02  0.38427929E-02  0.10025877-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332428E-02  0.41332428E-02  0.38409547E-02  0.10322810-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332410E-02  0.41332410E-02  0.38391165E-02  0.10619743-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332392E-02  0.41332392E-02  0.38372783E-02  0.10916677-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332374E-02  0.41332374E-02  0.38354401E-02  0.11213610-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332356E-02  0.41332356E-02  0.38336019E-02  0.11510544-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332338E-02  0.41332338E-02  0.38317637E-02  0.11807477-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332320E-02  0.41332320E-02  0.38299255E-02  0.12104411-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332302E-02  0.41332302E-02  0.38280873E-02  0.12401344-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332284E-02  0.41332284E-02  0.38262491E-02  0.12698278-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332267E-02  0.41332267E-02  0.38244109E-02  0.12995211-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332249E-02  0.41332249E-02  0.38225727E-02  0.13292145-317
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332231E-02  0.41332231E-02  0.38207345E-02  0.13589078-317
