         n,            x ,         t,                    s,     Pk,     k,    epsilon 
      77       0  0.77000000E-01  0.00000000E+00  0.50220675E-04  0.61147691E-02  0.32266936E-02
      78       0  0.78000000E-01  0.00000000E+00  0.50220675E-04  0.61137281E-02  0.32233672E-02
      79       0  0.79000000E-01  0.00000000E+00  0.50220675E-04  0.61126871E-02  0.32200407E-02
      80       0  0.80000000E-01  0.00000000E+00  0.50220675E-04  0.61116462E-02  0.32167143E-02
      81       0  0.81000000E-01  0.00000000E+00  0.50220675E-04  0.61106052E-02  0.32133878E-02
      82       0  0.82000000E-01  0.00000000E+00  0.50220675E-04  0.61095642E-02  0.32100613E-02
      83       0  0.83000000E-01  0.00000000E+00  0.50220675E-04  0.61085232E-02  0.32067349E-02
      84       0  0.84000000E-01  0.00000000E+00  0.50220675E-04  0.61074822E-02  0.32034084E-02
      85       0  0.85000000E-01  0.00000000E+00  0.50220675E-04  0.61064412E-02  0.32000820E-02
      86       0  0.86000000E-01  0.00000000E+00  0.50220675E-04  0.61054003E-02  0.31967555E-02
      87       0  0.87000000E-01  0.00000000E+00  0.49708647E-04  0.61044202E-02  0.31936343E-02
      88       0  0.88000000E-01  0.00000000E+00  0.49708647E-04  0.61034402E-02  0.31905131E-02
      89       0  0.89000000E-01  0.00000000E+00  0.49708647E-04  0.61024601E-02  0.31873919E-02
      90       0  0.90000000E-01  0.00000000E+00  0.49708647E-04  0.61014801E-02  0.31842706E-02
      91       0  0.91000000E-01  0.00000000E+00  0.49708647E-04  0.61005000E-02  0.31811494E-02
      92       0  0.92000000E-01  0.00000000E+00  0.49708647E-04  0.60995200E-02  0.31780282E-02
      93       0  0.93000000E-01  0.00000000E+00  0.49708647E-04  0.60985400E-02  0.31749070E-02
      94       0  0.94000000E-01  0.00000000E+00  0.49708647E-04  0.60975599E-02  0.31717858E-02
      95       0  0.95000000E-01  0.00000000E+00  0.49708647E-04  0.60965799E-02  0.31686646E-02
      96       0  0.96000000E-01  0.00000000E+00  0.49708647E-04  0.60955998E-02  0.31655433E-02
      97       0  0.97000000E-01  0.00000000E+00  0.49708647E-04  0.60946198E-02  0.31624221E-02
      98       0  0.98000000E-01  0.00000000E+00  0.49708647E-04  0.60936398E-02  0.31593009E-02
      99       0  0.99000000E-01  0.00000000E+00  0.49708647E-04  0.60926597E-02  0.31561797E-02
     100       0  0.10000000E+00  0.00000000E+00  0.49708647E-04  0.60916797E-02  0.31530585E-02
     101       0  0.10100000E+00  0.00000000E+00  0.49708647E-04  0.60906996E-02  0.31499372E-02
     102       0  0.10200000E+00  0.00000000E+00  0.49708647E-04  0.60897196E-02  0.31468160E-02
     103       0  0.10300000E+00  0.00000000E+00  0.49708647E-04  0.60887396E-02  0.31436948E-02
     104       0  0.10400000E+00  0.00000000E+00  0.49708647E-04  0.60877595E-02  0.31405736E-02
     105       0  0.10500000E+00  0.00000000E+00  0.49708647E-04  0.60867795E-02  0.31374524E-02
     106       0  0.10600000E+00  0.00000000E+00  0.49708647E-04  0.60857994E-02  0.31343312E-02
     107       0  0.10700000E+00  0.00000000E+00  0.49708647E-04  0.60848194E-02  0.31312099E-02
     108       0  0.10800000E+00  0.00000000E+00  0.49708647E-04  0.60838393E-02  0.31280887E-02
     109       0  0.10900000E+00  0.00000000E+00  0.49708647E-04  0.60828593E-02  0.31249675E-02
     110       0  0.11000000E+00  0.00000000E+00  0.49708647E-04  0.60818793E-02  0.31218463E-02
     111       0  0.11100000E+00  0.00000000E+00  0.49708647E-04  0.60808992E-02  0.31187251E-02
